mcns_id,rank,banc_match,similarity,label
10108,1,720575941503128626,0.0,tarsus-something
10108,2,720575941496126793,0.0,tarsus-something
10108,3,720575941519179480,0.0,tarsus-something
10108,4,720575941539565916,0.0,tarsus-something
10110,1,720575941496126793,0.5454349517822266,tarsus-something
10110,2,720575941503128626,0.0,tarsus-something
10110,3,720575941519179480,0.0,tarsus-something
10110,4,720575941539565916,0.0,tarsus-something
10113,1,720575941496126793,0.7909104824066162,tarsus-something
10113,2,720575941503128626,0.0,tarsus-something
10113,3,720575941519179480,0.0,tarsus-something
10113,4,720575941539565916,0.0,tarsus-something
10117,1,720575941496126793,0.10582724958658218,tarsus-something
10117,2,720575941503128626,0.0,tarsus-something
10117,3,720575941519179480,0.0,tarsus-something
10117,4,720575941539565916,0.0,tarsus-something
10127,1,720575941503128626,0.0,tarsus-something
10127,2,720575941496126793,0.0,tarsus-something
10127,3,720575941519179480,0.0,tarsus-something
10127,4,720575941539565916,0.0,tarsus-something
10128,1,720575941496126793,0.6119318604469299,tarsus-something
10128,2,720575941503128626,0.0,tarsus-something
10128,3,720575941519179480,0.0,tarsus-something
10128,4,720575941539565916,0.0,tarsus-something
10151,1,720575941496126793,0.7909104824066162,tarsus-something
10151,2,720575941503128626,0.0,tarsus-something
10151,3,720575941519179480,0.0,tarsus-something
10151,4,720575941539565916,0.0,tarsus-something
10159,1,720575941496126793,0.6119318604469299,tarsus-something
10159,2,720575941503128626,0.0,tarsus-something
10159,3,720575941519179480,0.0,tarsus-something
10159,4,720575941539565916,0.0,tarsus-something
10163,1,720575941503128626,0.0,tarsus-something
10163,2,720575941496126793,0.0,tarsus-something
10163,3,720575941519179480,0.0,tarsus-something
10163,4,720575941539565916,0.0,tarsus-something
10168,1,720575941503128626,0.0,tarsus-something
10168,2,720575941496126793,0.0,tarsus-something
10168,3,720575941519179480,0.0,tarsus-something
10168,4,720575941539565916,0.0,tarsus-something
10177,1,720575941496126793,0.2626093029975891,tarsus-something
10177,2,720575941503128626,0.0,tarsus-something
10177,3,720575941519179480,0.0,tarsus-something
10177,4,720575941539565916,0.0,tarsus-something
10180,1,720575941496126793,0.176727294921875,tarsus-something
10180,2,720575941503128626,0.0,tarsus-something
10180,3,720575941519179480,0.0,tarsus-something
10180,4,720575941539565916,0.0,tarsus-something
10184,1,720575941503128626,0.0,tarsus-something
10184,2,720575941496126793,0.0,tarsus-something
10184,3,720575941519179480,0.0,tarsus-something
10184,4,720575941539565916,0.0,tarsus-something
10185,1,720575941503128626,0.0,tarsus-something
10185,2,720575941496126793,0.0,tarsus-something
10185,3,720575941519179480,0.0,tarsus-something
10185,4,720575941539565916,0.0,tarsus-something
