root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575941531180261,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.157,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['sternal_anterior_rotator_miller_31'; 'MNfl36_VProN_R'],,right_ventral_prothoracic_nerve,[],right,6961,55
720575941566924135,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.3459,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['femur_reductor_tiny'],,right_prothoracic_leg_nerve,[],right,101,3
720575941630970604,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.31,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_tibia_flexor'; 'accessory_tibia_flexor_A'],15B,right_prothoracic_leg_nerve,[],right,281,0
720575941557543918,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.1464,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tibia_flexor'],,right_prothoracic_leg_nerve,[],right,586,27
720575941649909489,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.1363,ACH,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['femur_reductor'],,right_prothoracic_leg_nerve,[],right,545,9
720575941568546418,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.279,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tergotrochanter_extensor'],,right_ventral_prothoracic_nerve,[],right,3780,12
720575941538128626,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.36,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['long_tendon_muscle_B'],15B,right_prothoracic_leg_nerve,[],right,279,0
720575941667380979,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.392,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['sternotrochanter_extensor'; 'MNfl37_ProLN_R'],,right_ventral_prothoracic_nerve,[],right,1932,26
720575941593715569,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.194,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['pleural_remotor_abductor'; 'pleural_remotor_and_abductor_miller_29'],,right_prothoracic_accessory_nerve,[],right,6783,61
720575941636735861,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.334,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['sternal_posterior_rotator_miller_32'],20B.21B.22B,right_prothoracic_accessory_nerve,[],right,3602,26
720575941469045111,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.47,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_tibia_flexor'; 'accessory_tibia_flexor_B'],15B,right_prothoracic_leg_nerve,[],right,119,0
720575941580731001,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.905,ACH,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tibia_flexor'],15B,right_prothoracic_leg_nerve,[],right,1162,12
720575941451729274,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.NO_CONS.55,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['femur_reductor_tiny'],,right_ventral_prothoracic_nerve,[],right,65,0
720575941623218172,['innervates leg'; 'innervates T1 leg'; 'innervates right side of body'],T1_PRONM.417,GABA,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['tibia_flexor'; 'tibia_flexor_Fast'],15B,right_prothoracic_leg_nerve,[],right,3514,6
720575941625808330,['innervates leg'; 'innervates T1 leg'],T1_PRONM.490,ACH,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['sternal_posterior_rotator'],20B.21B.22B,left_prothoracic_accessory_nerve,[],right,2651,7
720575941574167803,['soma in VNC'],T1_PRONM.NO_CONS.42,,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,['accessory_tibia_flexor'; 'tarsus_depressor_A'],,right_prothoracic_leg_nerve,[],right,223,0
