,Completed
720575941351883568,True
720575941351888688,True
720575941351893552,True
720575941351902256,True
720575941351909680,True
720575941351912496,True
720575941351912752,True
720575941351919408,True
720575941351927600,True
720575941351937840,True
720575941351990832,True
720575941352015920,True
720575941352016432,True
720575941352042288,True
720575941352043312,True
720575941352049712,True
720575941352057392,True
720575941352057904,True
720575941352068656,True
720575941352075568,True
720575941352076848,True
720575941352077104,True
720575941352081968,True
720575941352082224,True
720575941352084784,True
720575941352087344,True
720575941352088624,True
720575941352099376,True
720575941352132912,True
720575941352155952,True
720575941352176432,True
720575941352181040,True
720575941352181296,True
720575941352187184,True
720575941352199472,True
720575941352202800,True
720575941352223280,True
720575941352233776,True
720575941352236336,True
720575941352244016,True
720575941352258864,True
720575941352263984,True
720575941352268592,True
720575941352282672,True
720575941352286512,True
720575941352320560,True
720575941352344368,True
720575941352358960,True
720575941352359472,True
720575941352364336,True
720575941352368688,True
720575941352372528,True
720575941352398640,True
720575941352401456,True
720575941352405552,True
720575941352411440,True
720575941352420912,True
720575941352445744,True
720575941352448816,True
720575941352458800,True
720575941352460080,True
720575941352465968,True
720575941352470576,True
720575941352473648,True
720575941352484144,True
720575941352496944,True
720575941352514352,True
720575941352525872,True
720575941352533552,True
720575941352534576,True
720575941352535088,True
720575941352539440,True
720575941352544304,True
720575941352552240,True
720575941352556080,True
720575941352578608,True
720575941352580912,True
720575941352587056,True
720575941352589360,True
720575941352598832,True
720575941352611888,True
720575941352612912,True
720575941352616240,True
720575941352617776,True
720575941352620080,True
720575941352631600,True
720575941352632368,True
720575941352637232,True
720575941352637744,True
720575941352647216,True
720575941352647728,True
720575941352651568,True
720575941352668208,True
720575941352669488,True
720575941352670768,True
720575941352674096,True
720575941352675888,True
720575941352676144,True
720575941352678192,True
720575941352694320,True
720575941352714288,True
720575941352714544,True
720575941352725808,True
720575941352726832,True
720575941352734512,True
720575941352735792,True
720575941352736304,True
720575941352743472,True
720575941352751920,True
720575941352755504,True
720575941352757040,True
720575941352767792,True
720575941352774448,True
720575941352775984,True
720575941352776240,True
720575941352778032,True
720575941352778544,True
720575941352779824,True
720575941352782384,True
720575941352782640,True
720575941352785712,True
720575941352791856,True
720575941352800048,True
720575941352800560,True
720575941352800816,True
720575941352804144,True
720575941352816176,True
720575941352818224,True
720575941352825904,True
720575941352827184,True
720575941352828464,True
720575941352843312,True
720575941352844336,True
720575941352863792,True
720575941352867120,True
720575941352877616,True
720575941352881200,True
720575941352896816,True
720575941352898608,True
720575941352900400,True
720575941352904496,True
720575941352906800,True
720575941352907824,True
720575941352911664,True
720575941352911920,True
720575941352917296,True
720575941352918576,True
720575941352919856,True
720575941352922928,True
720575941352925744,True
720575941352934192,True
720575941352939312,True
720575941352941360,True
720575941352943152,True
720575941352943920,True
720575941352944176,True
720575941352944432,True
720575941352944688,True
720575941352944944,True
720575941352945712,True
720575941352946736,True
720575941352965936,True
720575941352968496,True
720575941352972080,True
720575941352978224,True
720575941352981040,True
720575941352987696,True
720575941352998960,True
720575941353002800,True
720575941353003312,True
720575941353006896,True
720575941353008688,True
720575941353013040,True
720575941353031472,True
720575941353031728,True
720575941353040432,True
720575941353056048,True
720575941353064240,True
720575941353067056,True
720575941353070384,True
720575941353074480,True
720575941353080624,True
720575941353081648,True
720575941353082672,True
720575941353089328,True
720575941353092400,True
720575941353092656,True
720575941353095472,True
720575941353100336,True
720575941353103920,True
720575941353104432,True
720575941353107760,True
720575941353112112,True
720575941353112880,True
720575941353113136,True
720575941353115440,True
720575941353118512,True
720575941353126960,True
720575941353129264,True
720575941353130032,True
720575941353130544,True
720575941353136176,True
720575941353136688,True
720575941353138736,True
720575941353147440,True
720575941353152304,True
720575941353157168,True
720575941353164592,True
720575941353169456,True
720575941353175088,True
720575941353177392,True
720575941353177904,True
720575941353180976,True
720575941353183280,True
720575941353195312,True
720575941353195568,True
720575941353196592,True
720575941353199152,True
720575941353201200,True
720575941353201712,True
720575941353204016,True
720575941353204272,True
720575941353205552,True
720575941353205808,True
720575941353210672,True
720575941353211440,True
720575941353213744,True
720575941353222192,True
720575941353225008,True
720575941353229872,True
720575941353241904,True
720575941353247536,True
720575941353261360,True
720575941353267760,True
720575941353268016,True
720575941353286704,True
720575941353292592,True
720575941353301552,True
720575941353312560,True
720575941353313072,True
720575941353314608,True
720575941353319728,True
720575941353320496,True
720575941353327920,True
720575941353337136,True
720575941353338672,True
720575941353361200,True
720575941353376048,True
720575941353388848,True
720575941353389616,True
720575941353391152,True
720575941353394480,True
720575941353394736,True
720575941353395760,True
720575941353396016,True
720575941353397808,True
720575941353402160,True
720575941353402928,True
720575941353408304,True
720575941353418288,True
720575941353420336,True
720575941353433136,True
720575941353434416,True
720575941353440304,True
720575941353441584,True
720575941353443120,True
720575941353444144,True
720575941353450800,True
720575941353462320,True
720575941353462832,True
720575941353467696,True
720575941353469488,True
720575941353475632,True
720575941353490992,True
720575941353491504,True
720575941353514288,True
720575941353519152,True
720575941353521200,True
720575941353521456,True
720575941353525808,True
720575941353538352,True
720575941353539120,True
720575941353545776,True
720575941353553712,True
720575941353554224,True
720575941353564208,True
720575941353592880,True
720575941360473635,True
720575941360612206,True
720575941362372873,True
720575941364686480,True
720575941365793364,True
720575941365796976,True
720575941365799828,True
720575941366999190,True
720575941366999702,True
720575941370685468,True
720575941374040594,True
720575941381514052,True
720575941381895647,True
720575941382756008,True
720575941382993154,True
720575941390135044,True
720575941390136324,True
720575941390193156,True
720575941390243332,True
720575941390264580,True
720575941390268164,True
720575941390273796,True
720575941390279940,True
720575941390280452,True
720575941390285462,True
720575941390292996,True
720575941390308246,True
720575941390313988,True
720575941390320644,True
720575941390326532,True
720575941390330372,True
720575941390336260,True
720575941390352388,True
720575941390352900,True
720575941390358788,True
720575941390360836,True
720575941390363396,True
720575941390400260,True
720575941390420996,True
720575941390510486,True
720575941390518788,True
720575941390521750,True
720575941390527638,True
720575941390532868,True
720575941390572950,True
720575941390604438,True
720575941390619140,True
720575941390623382,True
720575941390627222,True
720575941390632342,True
720575941390634134,True
720575941390655236,True
720575941390660502,True
720575941390663574,True
720575941390671766,True
720575941390672790,True
720575941390677654,True
720575941390682262,True
720575941390684310,True
720575941390688150,True
720575941390690966,True
720575941390702742,True
720575941390713238,True
720575941390722710,True
720575941390723076,True
720575941390724246,True
720575941390725270,True
720575941390728598,True
720575941390733974,True
720575941390734852,True
720575941390740118,True
720575941390742934,True
720575941390748766,True
720575941390750358,True
720575941390761878,True
720575941390767254,True
720575941390774678,True
720575941390784918,True
720575941390787076,True
720575941390787478,True
720575941390795012,True
720575941390798742,True
720575941390812566,True
720575941390819222,True
720575941390822404,True
720575941390823830,True
720575941390824854,True
720575941390845700,True
720575941390850564,True
720575941390858244,True
720575941390877444,True
720575941390883478,True
720575941390885636,True
720575941390904068,True
720575941390911492,True
720575941390920452,True
720575941390942870,True
720575941390976406,True
720575941390978710,True
720575941390989060,True
720575941390994948,True
720575941391007126,True
720575941391016964,True
720575941391018244,True
720575941391024900,True
720575941391029398,True
720575941391034006,True
720575941391038358,True
720575941391038468,True
720575941391039236,True
720575941391048964,True
720575941391078404,True
720575941391081110,True
720575941391084804,True
720575941391104516,True
720575941391106308,True
720575941391110660,True
720575941391122070,True
720575941391122180,True
720575941391126276,True
720575941391127958,True
720575941391130628,True
720575941391131286,True
720575941391137028,True
720575941391148694,True
720575941391151108,True
720575941391151620,True
720575941391154436,True
720575941391163140,True
720575941391170052,True
720575941391172612,True
720575941391178756,True
720575941391183108,True
720575941391186436,True
720575941391204758,True
720575941391207574,True
720575941391210756,True
720575941391212548,True
720575941391213316,True
720575941391216022,True
720575941391221142,True
